,total_rewards
300,-221.52026085555553
301,-310.62342086830176
302,-179.91837540641427
303,-64.76729445904493
304,-174.50949200429022
305,-166.68367983400822
306,-151.78086076676846
307,-124.96224511414766
308,-58.998742781579494
309,-129.7521837055683
310,-257.0696768788621
311,-176.41196186840534
312,-229.54786755889654
313,-79.23267966508865
314,-382.0892516076565
315,-69.76313157379627
316,-176.73694103583694
317,-323.9468037560582
318,-330.68346403352916
319,-89.0737304314971
320,-117.4423115439713
321,-78.8572546672076
322,-87.95637209713459
323,-204.06032245978713
324,-203.68866595253348
325,-178.31499197520316
326,-98.45637476071715
327,-257.7165092173964
328,-320.01216466911137
329,-269.1890403702855
330,-266.011497694999
331,-83.10150342434645
332,-260.19822928099893
333,-31.279419796541333
334,-244.5806094892323
335,-125.2688505128026
336,-175.36541882203892
337,-106.95970214344561
338,-195.6658537373878
339,-142.707454232499
340,-80.81708633899689
341,-44.1147684045136
342,2.477249501273036
343,-69.88989555463195
344,-179.49099626205862
345,-192.9456356037408
346,-278.3027322459966
347,-107.59525572136045
348,-116.09854994900525
349,-114.03092071413994
350,-309.4685081541538
351,-39.82860131980851
352,-231.78308250382543
353,-258.2664651349187
354,-116.50049804896116
355,-298.1965839024633
356,-280.31535423360765
357,-113.36251458153129
358,-115.65311382338405
359,-198.86843273136765
360,-279.9928616252728
361,-12.524001955986023
362,-171.51096575241536
363,-188.6142197623849
364,-84.70193524681963
365,-211.73382365703583
366,-316.1631637791288
367,-119.36880588158965
368,-70.95798463374376
369,-72.71561513282359
370,-46.17311058938503
371,-111.9599380902946
372,-288.55112473946065
373,-104.45458285789937
374,-88.5576217547059
375,-172.10284583829343
376,-128.99885341300978
377,-95.90052874013782
378,-41.25746297836304
379,-198.13945236057043
380,-56.817836567759514
381,-87.72625190019608
382,-396.3908038660884
383,-170.01442947611213
384,-88.2051514685154
385,-108.6676921651815
386,-280.07809445261955
387,-182.93089596927166
388,-99.18869794532657
389,-268.07972149550915
390,-74.45251904986799
391,-110.1334891859442
392,-247.51388478279114
393,-164.29736411676276
394,-85.65843360312283
395,-195.24587524309754
396,-155.94838817417622
397,-64.33597277849913
398,-75.56806767731905
399,-58.84483027458191
400,-104.05717030912638
401,-83.66648761183023
402,-82.37813410162926
403,-166.47969032311812
404,-54.968317998573184
405,-97.31341741979122
406,-100.10541728138924
407,-64.45850136550143
408,11.469818200916052
409,-210.7021706700325
410,-61.283306278754026
411,-274.2863312717527
412,-362.96899259090424
413,-188.89644598215818
414,-44.26595235615969
415,-59.680727808736265
416,-69.08955356758088
417,-88.92869327496737
418,-163.2129753609188
419,-93.62004853412509
420,-165.6661202153191
421,-176.64330776012503
422,-87.32802191982046
423,-113.9550513792783
424,-78.73728756699711
425,-99.27449060045183
426,-101.79511341452599
427,-88.80892395786941
428,-96.17164396494627
429,-159.7349021229893
430,-200.616670422256
431,-218.7415214665234
432,-203.23865806357935
433,-100.4507951401174
434,-245.60779325664043
435,-78.15883500874043
436,-218.52625211700797
437,-109.80128770787269
438,-147.76970678986982
439,-58.485800597816706
440,-319.9868640974164
441,-125.97802988439798
442,-193.49617481976748
443,-138.1024364605546
444,-119.14857511036098
445,-171.73479397781193
446,-99.02857100218534
447,-238.5565294250846
448,-419.1845921203494
449,-111.13735592737794
450,-62.97210579738021
451,-202.3955890312791
452,-103.11968285264447
453,-79.25073619931936
454,-78.94577788561583
455,-70.65437509538606
456,-67.83060643542558
457,-44.22932571172714
458,-63.57718559727073
459,-73.81562809692696
460,-149.86583970300853
461,-93.05955357849598
462,-190.68525583692826
463,-95.5230163782835
464,-161.31741459143814
465,-76.72807773016393
466,-273.1964461132884
467,40.4832893715502
