,epsilons
223,0.9797837346879437
224,0.9796944154400502
225,0.9796051044186591
226,0.9795158016230124
227,0.9794265070523527
228,0.9793372207059224
229,0.9792479425829641
230,0.9791586726827202
231,0.9790694110044335
232,0.9789801575473467
233,0.9788909123107027
234,0.9788016752937443
235,0.9787124464957145
236,0.9786232259158563
237,0.9785340135534127
238,0.9784448094076269
239,0.9783556134777422
240,0.9782664257630019
241,0.9781772462626492
242,0.9780880749759279
243,0.9779989119020811
244,0.9779097570403524
245,0.9778206103899858
246,0.9777314719502248
247,0.9776423417203131
248,0.9775532196994946
249,0.9774641058870134
250,0.9773750002821132
251,0.9772859028840384
252,0.9771968136920328
253,0.9771077327053408
254,0.9770186599232067
255,0.9769295953448747
256,0.9768405389695892
257,0.976751490796595
258,0.9766624508251363
259,0.9765734190544577
260,0.9764843954838042
261,0.9763953801124202
262,0.9763063729395508
263,0.9762173739644409
264,0.9761283831863352
265,0.976039400604479
266,0.9759504262181175
267,0.9758614600264955
268,0.9757725020288585
269,0.9756835522244518
270,0.9755946106125207
271,0.9755056771923107
272,0.9754167519630673
273,0.9753278349240362
274,0.975238926074463
275,0.9751500254135933
276,0.9750611329406732
277,0.9749722486549482
278,0.9748833725556645
279,0.974794504642068
280,0.9747056449134048
281,0.9746167933689213
282,0.9745279500078633
283,0.9744391148294773
284,0.9743502878330096
285,0.9742614690177067
286,0.9741726583828151
287,0.9740838559275812
288,0.9739950616512518
289,0.9739062755530737
290,0.9738174976322934
291,0.9737287278881579
292,0.9736399663199141
293,0.973551212926809
294,0.9734624677080896
295,0.9733737306630031
296,0.9732850017907966
297,0.9731962810907174
298,0.9731075685620129
299,0.9730188642039304
300,0.9729301680157173
301,0.9728414799966213
302,0.9727528001458899
303,0.9726641284627708
304,0.9725754649465118
305,0.9724868095963607
306,0.9723981624115653
307,0.9723095233913737
308,0.9722208925350336
309,0.9721322698417935
310,0.9720436553109013
311,0.9719550489416053
312,0.971866450733154
313,0.9717778606847953
314,0.971689278795778
315,0.9716007050653507
316,0.9715121394927617
317,0.9714235820772597
318,0.9713350328180934
319,0.9712464917145116
320,0.9711579587657634
321,0.9710694339710972
322,0.9709809173297627
323,0.9708924088410082
324,0.9708039085040834
325,0.9707154163182372
326,0.9706269322827189
327,0.970538456396778
328,0.9704499886596639
329,0.9703615290706258
330,0.9702730776289135
331,0.9701846343337764
332,0.9700961991844643
333,0.9700077721802273
334,0.9699193533203145
335,0.9698309426039764
336,0.9697425400304627
337,0.9696541455990234
338,0.9695657593089086
339,0.9694773811593687
340,0.9693890111496536
341,0.9693006492790138
342,0.9692122955466996
343,0.9691239499519616
344,0.9690356124940501
345,0.9689472831722158
346,0.9688589619857093
347,0.9687706489337813
348,0.9686823440156828
349,0.9685940472306642
350,0.9685057585779768
351,0.9684174780568716
352,0.9683292056665995
353,0.9682409414064117
354,0.9681526852755594
355,0.9680644372732938
356,0.9679761973988664
357,0.9678879656515285
358,0.9677997420305315
359,0.967711526535127
360,0.9676233191645669
361,0.9675351199181024
362,0.9674469287949855
363,0.9673587457944681
364,0.9672705709158019
365,0.9671824041582391
366,0.9670942455210315
367,0.9670060950034312
368,0.9669179526046906
369,0.9668298183240617
370,0.9667416921607969
371,0.9666535741141485
372,0.966565464183369
373,0.966477362367711
374,0.9663892686664269
375,0.9663011830787696
376,0.9662131056039915
377,0.9661250362413456
378,0.9660369749900847
379,0.9659489218494617
380,0.9658608768187296
381,0.9657728398971415
382,0.9656848110839505
383,0.9655967903784097
384,0.9655087777797726
385,0.9654207732872924
386,0.9653327769002223
387,0.9652447886178163
388,0.9651568084393274
389,0.9650688363640095
390,0.9649808723911162
391,0.9648929165199013
392,0.9648049687496185
393,0.964717029079522
394,0.9646290975088653
395,0.9645411740369026
396,0.9644532586628881
397,0.9643653513860759
398,0.9642774522057204
399,0.9641895611210755
400,0.9641016781313959
401,0.9640138032359359
402,0.9639259364339501
403,0.9638380777246929
404,0.963750227107419
405,0.9636623845813833
406,0.9635745501458404
407,0.9634867238000452
408,0.9633989055432525
409,0.9633110953747175
410,0.963223293293695
411,0.9631354992994404
412,0.9630477133912088
413,0.9629599355682552
414,0.9628721658298353
415,0.9627844041752043
416,0.9626966506036178
417,0.9626089051143311
418,0.9625211677065998
419,0.96243343837968
420,0.9623457171328269
421,0.9622580039652966
422,0.9621702988763451
423,0.962082601865228
424,0.9619949129312015
425,0.9619072320735218
426,0.9618195592914448
427,0.9617318945842269
428,0.9616442379511244
429,0.9615565893913934
430,0.9614689489042906
